itemid,nama,harga,rating
9469451087,( GRADE SEMI DOUBLE OG ) Vans AUTENTIC BNIB Black White OG,12000000000,4.620253164556962
6592566992,Sepatu Sneakers Kasual Sepatu Sekolah Hitam santai,5500000000,4.6253561253561255
9731374833,[sale] vans oldskool OG + classic black white || premium import high quality,6550000000,4.266666666666667
5541290807,SEPATU VANS AUTHENTIC MAROON GUM 100% PREMIUM BNIB MADE IN CHINA SEPATU WANITA SNEAKERS TERLARIS COD,16740000000,4.65
4554580794,SEPATU VANS OLD SKOOL SEPATU CASUAL PRIA SEPATU PRIA CASUAL SEPARU PRIA KEREN SEPATU SANTAI,7500000000,4.657882352941177
8731087308,SEPATU PREMIUM- SEPATU OLDSKOOL BLACK WHITE - SNEAKERS V4NS OLD SKOOL PREMIUM MURAH BERKUALITAS,4400000000,4.552631578947368
6964214232,sepatu VANS oldschool (PREMIUM QUALITY),800000000,4.329787234042553
1774921901,Vans Authentic Black White Original Premium BNIB,28500000000,4.672
15618405274,Sepatu Sneakers Old Skool Black White Vns slip on Motif catur bw Vans SK Delapan Low COD,14990000000,5
4035856262,SEPATU VNS MONO BLACK PRIA DAN WANITA,9800000000,4.648258283772303
9774808486,FREE KAOS KAKI SEPATU SNEAKERS VANS OLD SKOOL (GREED ORI),4845000000,3.4545454545454546
7741973121,Leedoo Sepatu Sneakers Casual Pria Lentur Sport Fashion Hitam MR109,9700000000,4.804260985352863
5060133084,( FREE GANTUNGAN KUNCI ) SEPATU VANS OLDSKOOL PREMIUM SNEAKERS OLDSCHOOL PRIA WANITA - osbw1,14900000000,4.768654114365411
5513088384,[PROMO] SEPATU VANS PRIA WANITA SK8 MOTIF DT VANS TINGGI OLDSKOOL UNTUK SEKOLAH KULIAH,8500000000,4.297872340425532
9663518058,Sepatu Vans Old Skool full black / sepatu sekolah / sepatu casual / sepatu skate / vans hitam polos,5000000000,4.231433506044905
11244612309,Sepatu Vans Era Authentic Sepatu Hitam Polos Pria dan Wanita Sepatu Murah,6000000000,4.224137931034483
3014553240,SEPATU VANS PREMIUM PROMO PRIA WANITA SEPATU OLD_SCHOOL OF WHITE SEPATU KULIAH TERBARU DAN TERMURAH,7300000000,4.5
5252747625,Original Vans Old Skool Pro “ Black / White / Medium Gum .,60000000000,4.9
11809916177,VANS ORIGINAL OLDSCOL PETIR SEPATU SNEAKERS RAINBOW PREMIUM TERBARU DAN TERMURAH,6750000000,4.426666666666667
5058199684,(BISA COD) VANS OLDSKOOL OG PREMIUM IMPOR,17500000000,4.744
6254433379,sepatu Vans old skool Fetino sepatu kasual pria wanita /Autentik Fans / Vens Fatino terbaik terlaris,5500000000,4.574770642201835
13729609290,SEPATU SNEAKERS VANS OLDKSOOL X SPONGEBOB SQUAREPANTS GIGLIOTTI BLACK IMPORT PREMIUM KODE WAFFLE DT,25000000000,4.7272727272727275
9558093627,Sepatu Vans Old Skool Abu/Sepatu Sneakers Vans PRIA-WANITA,8500000000,4.466666666666667
9344089409,Sepatu Vans Odskool OG Black White Ori / Sneakers Vans Odskool OG Original,12200000000,4.651651651651652
3710088712,SEPATU PRIA WANITA VANS ERA AUTHENTIC BLACK WHITE MERAH NAVY FULL BLACK With Box ORIGINAL,4875000000,4.123430962343096
7392485562,Sepatu Vans Oldskool OG Black White Premium BNIB Made in Cina,8000000000,4.800492610837439
1935041999,"Vans Oldskool Wanita. Vans Peach, Vans Hitam Pink, Vans Cream, Vans Ukuran 36-40. Grade Ori",10890000000,4.561538461538461
2752009731,SEPATU VANS OLDSKOOL STYLE 36 VAULT LX MODERNICA,38000000000,4.818181818181818
8258559747,[ FREE GIFT ] Sepatu Vans Sneakers Old Skool Sepatu Pria dan Wanita Putih Polos,7625000000,4.6923076923076925
4934433832,Maxius Footwear Sepatu  Clasic Cave Black White,17900000000,4.710743801652892
9466030783,Paket 100% Import Vans Slip On Mono Checkerboard  + Tote Bag Vans,17500000000,4.733585262163439
8322004665,(SALE) Vans Sidewall Chekerboard Classic Original,60000000000,4.7
5237174964,SEPATU VANS PRIA AUTHENTIC OLDSKOOL SEPATU CASUAL PRIA SPIDERMAN MARVEL MARIO BAPE V02,7192800000,4.67
